Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
Karlstrom,Udinese,C,55.25,56,65,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Fagioli,Juventus,C,55.25,54,67,40,60,,,,,Outsider,,,,,,,Assistman,,,11/20,0/2,0/3
Akpa Akpro,Lazio,C,55.0,58,62,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Suslov,Verona,C,54.75,61,58,40,60,,,,,Outsider,,,,,,,Assistman,,,21/30,3/5,4/7
Adli,Milan,C,54.75,59,60,40,60,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
El Azzouzi,Bologna,C,54.75,56,63,40,60,,,,,,,,,,,,,,,11/20,0/2,0/2
Busio,Venezia,C,54.5,55,63,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
SACO COLI,Napoli,C,54.25,59,58,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Castrovilli,Lazio,C,54.0,66,70,60,20,,,,,,,,,,Buona Media,,,,,21/30,4/7,3/5
Machin,Monza,C,54.0,54,62,40,60,,,,,,,,,,,,,,,11/20,0/2,0/2
Duncan,Venezia,C,53.75,59,76,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Kaba,Lecce,C,53.75,52,63,40,60,,,,,,,,,,,,,,,30+,0/3,0/3
Estevez,Parma,C,53.75,52,63,40,60,,,,,Outsider,,,,,,,,,,0/10,0/2,0/2
Viola,Cagliari,C,53.5,55,59,60,40,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
ILKHAN EMIRHAN,Torino,C,53.5,54,60,40,60,,,,,,,,,,,Goleador,Assistman,,,0/10,0/3,0/3
Haas,Empoli,C,53.25,50,63,40,60,,,,,,,,,,,,,,,21/30,0/2,0/2
Sohm,Parma,C,53.0,50,62,40,60,,,,,,,,,,,,Assistman,,,21/30,0/1,3/5
Ellertsson,Venezia,C,53.0,49,63,40,60,,,,,Outsider,,,,,,,,,,30+,0/3,0/3
Nicolussi Caviglia,Juventus,C,52.75,51,60,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Ekkelenkamp,Udinese,C,52.75,48,63,40,60,,,,,,,,,,,,,,,21/30,3/5,0/3
Grassi,Empoli,C,52.5,61,69,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
Urbanski,Bologna,C,52.5,52,58,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
